Data sets for Rarotonga and Aitutaki,,,,,,,,,
Surveys of Organisms in Lagoons in 2009 and 2018,,,,,,,,,
,,,,,,,,,
I.  Mean density of Adult Organisms (+/- 95% Confidence Intervals),,,,,,,,,
,,,,,,,,,
,,2009 Data ,,,2018 Data,,,95% CI (+/-) for,
,,Rarotonga,Aitutaki,,Rarotonga,Aitutaki,,each sampling date,
Adult Fish: number per 100 m2 of reef,,,,,,,,,
Surgeonfish (herbivores),,250,360,,20,390,,32,
Coral Trout (predators of adult fishes),,120,170.0,,4.0,40.0,,21,
Spotted Damselfish (eats zooplankton),,520,910,,19,257,,47,
Yellow Damselfish (eats zooplankton),,32,36,,90,80,,15,
,,,,,,,,,
Other Organisms: amount of bottom covered (m2) per 100 m2 of reef area,,,,,,,,,
Mounding Corals,,19.5,14.5,,18.0,15.9,,3.5,
Coarse-branching Corals,,2.8,3.2,,0.7,2.4,,0.5,
Fine-branching Corals,,2.2,2.5,,0.30,3.2,,0.9,
Sea Anemones,,1.0,1.8,,0.5,0.9,,0.1,
Algae,,1.7,0.8,,5.5,0.4,,0.8,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
II. Mean Number of Newly Recuited (young) Fish per 1 m2 of Microhabitat (+/- 95% Confidence Intervals),,,,,,,,,
,,,,,,,,,
,,2006 Data ,,,2021Data ,,,95% CI (+/-) for,
,,Rarotonga,Aitutaki,,Rarotonga,Aitutaki,,each sampling date,
Fish,Microhabitat,,,,,,,,
Surgeonfish,Mounding Coral,0,0,,0,0,,0,
,Corase-branching Coral,0,0,,0,0,,0,
,Fine-branching Coral,19.5,27,,33,25.5,,10,
,SeaAnemones,0,0,,0,0,,0,
,Algae,0,0,,0,0,,0,
,,,,,,,,,
Coral Trout,Mounding Coral,0,0,,0,0,,0,
,Corase-branching Coral,10.5,10.5,,1.5,7.5,,2.5,
,Fine-branching Coral,0,0,,0,0,,0,
,SeaAnemones,0,0,,0,0,,0,
,Algae,0,0,,0,0,,0,
,,,,,,,,,
Spotted Damselfish,Mounding Coral,0,0,,0,0,,0,
,Corase-branching Coral,0,0,,0,0,,0,
,Fine-branching Coral,0,0,,0,0,,0,
,SeaAnemones,15,10,,10,8.75,,5,
,Algae,0,0,,0,0,,0,
,,,,,,,,,
Yellow Damselfish,Mounding Coral,23.1,11,,47.3,20.9,,4,
,Corase-branching Coral,0,0,,0,0,,0,
,Fine-branching Coral,0,0,,0,0,,0,
,SeaAnemones,0,0,,0,0,,0,
,Algae,0,0,,0,0,,0,
,,,,,,,,,
